0:0:0:0:0:0:0:1 - - [15/Dec/2020:17:48:50 +0200] "GET /Veneet/listaaveneet.jsp HTTP/1.1" 200 1778
0:0:0:0:0:0:0:1 - - [15/Dec/2020:17:48:50 +0200] "GET /Veneet/css/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Dec/2020:17:48:50 +0200] "GET /Veneet/veneet/ HTTP/1.1" 200 681
0:0:0:0:0:0:0:1 - - [15/Dec/2020:17:49:21 +0200] "GET /Veneet/listaaveneet.jsp HTTP/1.1" 200 1785
0:0:0:0:0:0:0:1 - - [15/Dec/2020:17:49:21 +0200] "GET /Veneet/css/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Dec/2020:17:49:21 +0200] "GET /Veneet/veneet/ HTTP/1.1" 200 681
0:0:0:0:0:0:0:1 - - [15/Dec/2020:17:49:59 +0200] "GET /Veneet/listaaveneet.jsp HTTP/1.1" 200 1786
0:0:0:0:0:0:0:1 - - [15/Dec/2020:17:49:59 +0200] "GET /Veneet/css/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Dec/2020:17:49:59 +0200] "GET /Veneet/veneet/ HTTP/1.1" 200 681
0:0:0:0:0:0:0:1 - - [15/Dec/2020:17:50:24 +0200] "GET /Veneet/listaaveneet.jsp HTTP/1.1" 200 1786
0:0:0:0:0:0:0:1 - - [15/Dec/2020:17:50:24 +0200] "GET /Veneet/css/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Dec/2020:17:50:24 +0200] "GET /Veneet/veneet/ HTTP/1.1" 200 681
0:0:0:0:0:0:0:1 - - [15/Dec/2020:17:50:25 +0200] "GET /Veneet/lisaavene.jsp HTTP/1.1" 200 2961
0:0:0:0:0:0:0:1 - - [15/Dec/2020:17:50:55 +0200] "GET /Veneet/listaaveneet.jsp HTTP/1.1" 200 1786
0:0:0:0:0:0:0:1 - - [15/Dec/2020:17:50:55 +0200] "GET /Veneet/css/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Dec/2020:17:50:55 +0200] "GET /Veneet/veneet/ HTTP/1.1" 200 681
0:0:0:0:0:0:0:1 - - [15/Dec/2020:17:50:56 +0200] "GET /Veneet/lisaavene.jsp HTTP/1.1" 200 2961
0:0:0:0:0:0:0:1 - - [15/Dec/2020:17:51:21 +0200] "POST /Veneet/veneet HTTP/1.1" 200 16
0:0:0:0:0:0:0:1 - - [15/Dec/2020:17:51:26 +0200] "GET /Veneet/listaaveneet.jsp HTTP/1.1" 200 1786
0:0:0:0:0:0:0:1 - - [15/Dec/2020:17:51:26 +0200] "GET /Veneet/css/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Dec/2020:17:51:26 +0200] "GET /Veneet/veneet/ HTTP/1.1" 200 775
0:0:0:0:0:0:0:1 - - [15/Dec/2020:17:54:32 +0200] "GET /Veneet/listaaveneet.jsp HTTP/1.1" 200 1787
0:0:0:0:0:0:0:1 - - [15/Dec/2020:17:54:32 +0200] "GET /Veneet/css/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Dec/2020:17:54:32 +0200] "GET /Veneet/veneet/ HTTP/1.1" 200 775
0:0:0:0:0:0:0:1 - - [15/Dec/2020:17:55:37 +0200] "GET /Veneet/listaaveneet.jsp HTTP/1.1" 200 1803
0:0:0:0:0:0:0:1 - - [15/Dec/2020:17:55:37 +0200] "GET /Veneet/css/main.css HTTP/1.1" 200 696
0:0:0:0:0:0:0:1 - - [15/Dec/2020:17:55:37 +0200] "GET /Veneet/veneet/ HTTP/1.1" 200 775
0:0:0:0:0:0:0:1 - - [15/Dec/2020:17:56:09 +0200] "GET /Veneet/lisaavene.jsp HTTP/1.1" 200 2978
0:0:0:0:0:0:0:1 - - [15/Dec/2020:17:56:09 +0200] "GET /Veneet/css/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Dec/2020:17:56:10 +0200] "GET /Veneet/listaaveneet.jsp HTTP/1.1" 200 1803
0:0:0:0:0:0:0:1 - - [15/Dec/2020:17:56:10 +0200] "GET /Veneet/veneet/ HTTP/1.1" 200 775
0:0:0:0:0:0:0:1 - - [15/Dec/2020:17:56:11 +0200] "GET /Veneet/lisaavene.jsp HTTP/1.1" 200 2978
0:0:0:0:0:0:0:1 - - [15/Dec/2020:17:56:13 +0200] "GET /Veneet/listaaveneet.jsp HTTP/1.1" 200 1803
0:0:0:0:0:0:0:1 - - [15/Dec/2020:17:56:13 +0200] "GET /Veneet/css/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Dec/2020:17:56:13 +0200] "GET /Veneet/veneet/ HTTP/1.1" 200 775
0:0:0:0:0:0:0:1 - - [15/Dec/2020:17:56:14 +0200] "GET /Veneet/lisaavene.jsp HTTP/1.1" 200 2978
0:0:0:0:0:0:0:1 - - [15/Dec/2020:17:56:17 +0200] "GET /Veneet/listaaveneet.jsp HTTP/1.1" 200 1803
0:0:0:0:0:0:0:1 - - [15/Dec/2020:17:56:17 +0200] "GET /Veneet/css/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Dec/2020:17:56:17 +0200] "GET /Veneet/veneet/ HTTP/1.1" 200 775
0:0:0:0:0:0:0:1 - - [15/Dec/2020:17:57:05 +0200] "GET /Veneet/listaaveneet.jsp HTTP/1.1" 200 1803
0:0:0:0:0:0:0:1 - - [15/Dec/2020:17:57:05 +0200] "GET /Veneet/css/main.css HTTP/1.1" 200 728
0:0:0:0:0:0:0:1 - - [15/Dec/2020:17:57:05 +0200] "GET /Veneet/veneet/ HTTP/1.1" 200 775
0:0:0:0:0:0:0:1 - - [15/Dec/2020:17:57:07 +0200] "GET /Veneet/listaaveneet.jsp HTTP/1.1" 200 1803
0:0:0:0:0:0:0:1 - - [15/Dec/2020:17:57:07 +0200] "GET /Veneet/css/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Dec/2020:17:57:07 +0200] "GET /Veneet/veneet/ HTTP/1.1" 200 775
0:0:0:0:0:0:0:1 - - [15/Dec/2020:17:57:08 +0200] "GET /Veneet/listaaveneet.jsp HTTP/1.1" 200 1803
0:0:0:0:0:0:0:1 - - [15/Dec/2020:17:57:08 +0200] "GET /Veneet/css/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Dec/2020:17:57:08 +0200] "GET /Veneet/veneet/ HTTP/1.1" 200 775
0:0:0:0:0:0:0:1 - - [15/Dec/2020:17:57:22 +0200] "GET /Veneet/listaaveneet.jsp HTTP/1.1" 200 1803
0:0:0:0:0:0:0:1 - - [15/Dec/2020:17:57:22 +0200] "GET /Veneet/css/main.css HTTP/1.1" 200 730
0:0:0:0:0:0:0:1 - - [15/Dec/2020:17:57:22 +0200] "GET /Veneet/veneet/ HTTP/1.1" 200 775
0:0:0:0:0:0:0:1 - - [15/Dec/2020:17:57:22 +0200] "GET /Veneet/listaaveneet.jsp HTTP/1.1" 200 1803
0:0:0:0:0:0:0:1 - - [15/Dec/2020:17:57:22 +0200] "GET /Veneet/css/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Dec/2020:17:57:22 +0200] "GET /Veneet/veneet/ HTTP/1.1" 200 775
0:0:0:0:0:0:0:1 - - [15/Dec/2020:17:57:23 +0200] "GET /Veneet/listaaveneet.jsp HTTP/1.1" 200 1803
0:0:0:0:0:0:0:1 - - [15/Dec/2020:17:57:23 +0200] "GET /Veneet/css/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Dec/2020:17:57:23 +0200] "GET /Veneet/veneet/ HTTP/1.1" 200 775
